Label,Claim
0,Muslim Beats Boy for Having Blue Eyes?
1,"“There is a direct connection between discriminatory policies within the USDA and the enormous land loss we have seen among Black farmers over the past century."""
0,Trump Purchases Ex-Rockefeller Estate?
1,Does Lyft Have a Safety Feature That 'Checks in' When Riders Go Off Route?
0,Is Country Duo 'Florida Georgia Line' to Marry?
0,Was Alec Baldwin Arrested at the 2017 Emmys for Threatening President Donald Trump?
1,"""A couple retiring today will pay about $119,000 in lifetime Medicare taxes and receive about $357,000 in lifetime Medicare benefits. ... about 3 bucks in benefits for every dollar in taxes."""
0,Did Melania Trump Plagiarize a Memorial Day Tweet From Michelle Obama?
0,Did James Comey Tweet About 'the Pee Tape' After Getting Fired?
0,Did Price of Arizona Iced Tea Increase?
1,"Economic Development Commission Executive Director Keith Stokes ""sent me a letter and he said the taxpayers will never be on the hook for these bonds"" for 38 Studios."
0,Is Paracetamol Contaminated with the Deadly 'Machupo' Virus?
1,"Insulin prices have ""gone THRU THE ROOF for patients/taxpayers bc of manufacturer, health plan & PBM biz practices."""
1,Does This Photo Show the Crowd at Trump's 4th of July Event?
1,"""The president has added close to 68,000 troops in the last year, since he came into office, not just the 30,000 you hear, but the others that were added before that."""
1,Do Plainclothes NYPD Officers Wear Colored Arm Bands?
1,"""The 1990s were a time of prosperity. We created more than 22-million new jobs, moved 8-million people out of poverty, and turned our economy around."""
0,Did Jared Kushner Go to Saudi Arabia Because it Doesn't Have an Extradition Treaty With the US?
1,Distracted driving such as texting behind the wheel is behind a rise in traffic deaths on Georgia roadways this year.
0,Was a Pixie Skeleton Discovered in the Rocky Mountains?
0,Was Katy Perry Taken from the Grammys in Handcuffs?
1,"""Contrary to popular belief, we actually don’t have that many public employees…We are well below average in the number of public employees.’’"
0,Russia Put Black Lives Matter on Official Terror List
1,Camel Shadows in the Desert
0,"Does Biden's ""Fake Air Force One"" Prove He Is Not Really President?"
1,Did Billy Graham Warn Against Mixing Religion and Politics?
1,"""Now, I also support the Bush tax cuts. Sen. McCain voted against them originally. He now believes they should be made permanent. I'm glad he agrees they should be made permanent."""
0,'Superman Is Coming in Supergirl' Poster
1,"""I have never once raised the county tax levy -- not for seven straight years."""
0,"Says President Theodore Roosevelt said ""To anger a conservative, lie to him. To anger a liberal, tell him the truth."""
0,Disney CEO Bob Chapek was arrested for human trafficking.
1,"Did Ben Franklin Leave $2,000 Each to Boston and Philadelphia?"
0,Was Taylor Swift 'Busted' on a Date with Colin Kaepernick?
0,Does Turmeric Prevent Dementia?
1,"Was That 'Meteor' Above Seattle, Pacific Northwest Actually SpaceX's Falcon 9 Rocket?"
1,Heart Attack Symptoms
1,Did the CDC Say Racism Is a Threat to Public Health?
0,Is This Couple Viewing the Apollo 8 Spacecraft Launch?
0,Did Clint Eastwood Get 'Terribly Tragic News' Over His Latest Movie?
0,"""Some of the Democrats have been talking about ending (coverage for) pre-existing conditions."""
1,Is an Ad Touting 'A Gun for the Whole Family' Real?
1,"Says Donald Trump ""wants to undo marriage equality."""
1,Did John Steinbeck Send This Letter to Marilyn Monroe?
1,"Under Obamacare, members of Congress are required to purchase their health insurance from the new exchanges."
0,Did Reps. Pelosi and Waters Pose with 'Trump 2020' Sign?
1,Does Texas Have Its Own Power Grid?
0,Rochester/Silver Lake Park Abduction Warning
0,Did This Protest Sign Suggest the Mass Killing of White People in Order to End White Supremacy?
0,Did the FBI Post a Biting Tweet About Prince Andrew?
0,“Trump was secretly inaugurated as president of the restored Republic.”
1,"""American oil production is at its highest level since 2003."""
1,"""Senator McCain has been talking tough about earmarks, and that's good, but earmarks account for about $18-billion of our budget."""
1,Did President Trump Say “Everybody Would Be Very Poor” If He Were Impeached?
0,Justin Trudeau to Pardon All Prisoners Convicted of a Marijuana Offence
1,Did Obama Urge US Pandemic Preparedness in 2014?
1,"""Accidents are down 50 percent and injury accidents are down 60 percent"" in the rebuilt Marquette Interchange in Milwaukee."
0,Military Absentee Ballots Delivered One Day Late Would Have Swung Election for Clinton
0,Photo of unbroken windows proves war in Ukraine is fake.
0,Hillary Clinton Paid Actor to Impersonate Military Member
0,"No, Leaked Videos Do Not Show Widespread Voter Fraud, 'Ballot Stuffing' in '16 Democratic Primary"
1,"“Since 2019, I've successfully lobbied for the funds to add hundreds of school counselors, lowering our student to school counselor ratio by 20%.”"
1,"""Fulton County has successfully reduced the number of pregnancies"" among 15- to 19-year-olds."
0,Will Drinking Water in the Mornings Prevent Heart Attacks and Cure Diseases?
0,Did NYT Report Clinton and Soros 'Paid Woman to Accuse Trump of Sexual Assault'?
1,Is There a ‘No-Fly Zone’ Over Walt Disney World?
1,Did Presidents Obama and Trump Write Wildly Different Entries in the Yad Yashem Guestbook?
1,"""New data shows in-person learning isn't driving spikes in cases."""
1,Did Barilla Pasta's Chairman Make Anti-Gay Remarks?
0,'Donald Trump Arrested' Virus Warning
1,Is Tear Gas Banned for Use in Warfare?
0,Did Actor Keanu Reeves Save Dozens of Cats from Euthanasia?
0,Was Ivanka Trump Critically Injured After Being Shot by a Sniper?
0,Is Stonehenge Reset for Daylight Saving Time?
1,Trump Wants Next G7 Summit at His Hotel That Settled Bed Bugs Lawsuit?
1,"Says Alex Jones ""said that the victims of the Sandy Hook massacre were child actors and no one was actually killed there."""
0,Angelina Jolie Death Hoax
1,Oxford Alabama Transgender Bathroom Ordinance
0,Did a Young Girl Disconnect her Grandfather's Life Support to Plug in her Phone’s Charger?
0,Mayweather-Pacquiao Fight Was Reversed?
1,"Says Florida refused to allow the insurance commissioner to ""negotiate lower rates with companies or refuse rates that are too high"" under Obamacare."
1,"""Syria and Nicaragua are the only nations that didn't sign the Paris Agreement. Nicaragua said it wasn't tough enough."""
0,Did Thousands of Marines Apply for White House Detail After Trump Became President?
0,Did Alabama Election Officials Find Thousands of Dead People Who Voted for Doug Jones?
0,"No, the US Supreme Court Did Not 'Sign a Verdict' to Impeach Pelosi"
0,"No, That Picture of Kamala Harris with Jeffrey Epstein Is Not Real"
0,Can the Texas Flag Fly at the Same Height as the U.S. Flag?
0,Does Pfizer's COVID-19 Vaccine Contain Aborted Fetal Cells?
1,Viral Post Recounts Key Details of Ron DeSantis' Life Before Politics
0,Did Melania Trump Have a Private Bedroom on Air Force One?
1,Did Target Temporarily Halt Pokemon Card Sales Over Safety Concerns?
0,Did US House Speaker Pelosi 'Hold Back' Coronavirus Funding?
1,Did the Hollywood Sign Once Say 'Hollywoodland'?
1,Is This a Mug Shot of Tim Allen After a Cocaine Arrest?
0,"Taco Bell Announcing Bankruptcy, All Stores Closing by 2018?"
1,Is This an Authentic Photo of Submerged Roman Mosaics in Turkey?
0,Were UN Vehicles and Trucks Spotted in Southern States?
0,"As an example of voter fraud, “we have literally 9,000 people who voted in this election (in Nevada) who don’t live in Nevada.”"
1,Are Sherbet-Colored Pigeons Real?
1,Did RNC Video Depict Rioting in ‘Biden’s America’ Using Barcelona Footage?
1,A New Restaurant at Walt Disney World Gives Guests a 'Space' Adventure
0,Was Rapper XXXTentacion Found Alive?
1,"The House of Delegates budget bill ""cuts $50 million from education."""
0,"Did WaPo Publish, ‘This Dog is the New Face of Online Homophobia’?"
0,Were Australian Lawmakers Considering Ban on People Growing Food?
0,"Did All Christian Churches in Dearborn, Michigan, Close in April 2018?"
0,Did Nick Saban Finish Third in the 2017 Alabama Senate Race?
0,Bacon Sandwich Reported as Offensive on Facebook
1,Is 'Bluetooth' Technology Named After a Viking King?
0,Gary Sinise Tweets Hillary Clinton About Guns
1,Did Eisenhower Warn About Political Parties Who Wanted to 'Abolish Social Security?'
0,A photo shows paleontologists in Greece discovering the skeleton of a giant.
1,"""Many don’t know that Bill Young was once the minority leader in the Florida Senate...because he was the only Republican senator."""
1,Did a Zeppelin Fly over Giza in the 1930s?
1,The law has not established whether Rhode Island public employees have property rights to their pensions.
0,Floyd Mayweather Jr. Donates a 'Whopping Sum of Money' to Houston After Hurricane?
0,Is This 'Monster Bullfrog' Real?
0,Is This a Wall Around Nancy Pelosi's Home?
1,Was Goldeneye 007 Originally Intended for Super NES?
0,Is It Illegal for USPS Deliverers To Use Personal Vehicles?
1,Does Fisher-Price Sell a 'My Home Office' Set for Kids?
1,"""We heard from the Department of Homeland Security ... that this was probably the most secure election that’s ever been run in the United States.”"
1,Are Most Cruise Ships Registered Under Foreign Flags?
0,"“So California is requiring signature verification for Gavin Newsom’s recall, but didn’t require it for the mail in ballots.”"
1,"Yes, This 'Smokenado' Video Is Real"
1,Did a Mother's Hugs Bring Her Dead Son Back to Life?
1,Is This 1961 Pro-Segregation Letter from LSU's President Real?
0,Did Georgia Poll Workers Hide 'Suitcases' of Ballots From Republican Observers?
0,Does Donald Trump Watch 'The Gorilla Channel'?
1,"""Even if you took literally every single ounce of platinum in the world, it still wouldn’t add up to enough needed to pay down our nation’s debt."""
0,Is This Mansion One of Bernie Sanders' Homes?
0,Is Snapchat Building a Facial Recognition Database for the Feds?
0,Powerball Wealth Sharing Meme
1,"""Today’s marijuana is 300 percent to 800 percent more potent than the pot of yesteryear."""
0,Are Hells Angels Heading to Seattle To Fight Antifa?
0,Debunking Trump Tweets: Biden's 143K Vote 'Dump' in Wisconsin
1,"“There are more job openings than there are people on unemployment"" in Iowa."
1,"Says if elected, he would be the first Mayor who lives east of 82nd."
1,Says the Army is spending $7 million to sponsor a NASCAR team.
1,"""The past president (Barack Obama) brought Al Sharpton into the White House something like 80 times."""
0,Was a Grand Juror in a Clinton Probe Found Dead?
1,Is This a Real Photograph of Alex Acosta's Family?
1,"""Vietnamese is the third most commonly spoken language in Texas."""
0,Did a Politician Say 'Canadians Have to Get Used to the Fact That We Moslems Are Now in Government?'
0,Is California's Governor Requiring Students Use Arabic Numbers in Schools?
0,Are People Dying From Exposure to Sarah Jessica Parker's Perfume?
1,“West Virginia has one of the greatest percentages of veterans in any state.”
1,"Virginia House ""Republicans have had more African-Americans on key committees than when the Democrats were in control."""
1,"""From 2003 to 2006, 'Sesame Street' made more than $211 million from toy and consumer product sales."""
1,"Heroin comes in the United States ""from the southern border."""
1,Was a Tiny Chameleon with Huge Genitals Discovered in Madagascar?
1,Was 'Loser' Projected Onto the Lawn of Trump's Scottish Golf Course?
1,"""The Walton family, which owns Wal-Mart, controls a fortune equal to the wealth of the bottom 42 percent of Americans combined."""
0,White Billionaire Offers $1 Billion to 'Breed' Lebron and Serena?
0,Was Ilhan Omar's Brother Arrested with ‘200 Lbs. of Explosives’?
1,Georgia’s share of money from the Federal Highway Trust Fund declined 12 percent between 2008 and 2013.
0,The U.S. military seized servers in Germany tied to Dominion Election Systems.
0,Did the White House Give Lesley Stahl a Blank Book of Trump's Healthcare Accomplishments?
0,Protesters Beat Homeless Veteran to Death in Philadelphia
1,Trump’s Budget Director Pick Asked “Do We Really Need Government-Funded Research at All?”
1,Did an Intern at a Prestigious Law Firm Send This Embarrassing Email?
0,Does a Risque Photo Show Obama Eating a Hot Dog in Front of a Statue?
1,"The budget for the Consumer Financial Protection Bureau ""is only about 1 percent of the amount banks generate just from late fees and overdraft fees."""
1,"Wisconsin was the ""first state to ban public and private sector employment discrimination based on sexual orientation."""
1,"When the New York State Senate voted to legalize abortion in 1970, 12 Republican senators voted in favor of it."
0,Is This 'Keke Challenge Gone Wrong' Video Real?
1,"Yes, a Pilot Really Did Survive Being Sucked Out of an Airplane in 1990"
1,"""Republicans in Congress refuse to list a single tax loophole they are willing to close."""
1,"MikeHuckabee.com gets ""more hits than virtually any other presidential candidate."""
0,Did a Former Disney World Princess 'Reveal the Truth'?
0,Bull Shark Spotted in Kentucky Lake?
0,Is This Kim Jong-Un Reading 'Fire and Fury'?
1,Did a Belgian Town Accidentally Decorate for Christmas with Phallic Light Display?
0,15-Year-Old Killed Trespassing While Playing Pokemon Go
1,Do Yellow Caps on Coke Bottles Have a Special Meaning?
0,Did Sylvester Stallone Say Obama Is a ‘Closet Homosexual Living a Lie’?
1,Is Safyre Terry's Christmas Wish a Scam?
0,Did Washington D.C.'s Football Team Change Its Name To 'Redhawks'?
1,Did a Bear Chase a Skier Down a Mountain?
1,"""Forty percent of the country is going to be in states that are tolerant of gay marriage or at least civil unions."""
1,United States Senate Candidate Favors a Woman’s Right to Cook Him Dinner?
0,Did Joe Biden's Great-Grandfather Own Slaves?
0,Does Donald Trump Have Klinefelter Syndrome?
0,"Lebron James Wore a 'We March, Y'all Mad' Protest Shirt?"
1,Is Mylan CEO Heather Bresch the Daughter of W.V. Democratic Senator Joe Manchin?
0,"Sharpie Pens ARE Allowed on Illinois Ballots, Despite False Rumor"
1,"""John McCain decided to stand with George Bush 95 percent of the time (last year)."""
1,"Says food stamp growth, while high, lagged the rise in unemployment."
1,"Yes, Jonathan the Tortoise Is the Oldest Known Land Animal"
1,"Did an Ohio Gubernatorial Candidate Accept $20,000 from a Pro-Assad Group?"
1,"Says that in the recent year homeowners across Ohio have signed mineral rights agreements ""and I understand that over a billion dollars worth of leases have been signed to date."""
1,Hecklers Shout 'Traitor' at Mike Pence
1,"Pic Shows Difference Between Men's, Women's Beach Handball Uniforms?"
1,Did Negro the Colombian Dog Pay for Cookies with Leaves?
1,"Doctor Saves Baby, Baby Saves Doctor"
0,Is This a Real Photo of Trump with No Wig or Makeup?
0,Does Joe Biden Have a Body Double?
0,Is Hippopotamus Milk Pink?
0,Mexican Family Names Newborn After 'Brexit'
1,"""The region I represent, both currently and in the future, has more automotive plants than the entire state of California."""
1,"The new 21st State Senate district was ""created in secret for Van Wanggaard. It was drawn within half a block of his house."""
0,Merle Haggard Leaves Estate to Bakersfield LGBT Group
1,"""The law, right now, permits companies that close down American factories and offices and move those jobs overseas to take a tax deduction for the costs associated with moving the jobs to China or India or wherever."""
0,"If You See This on a Walmart Receipt, Should You Call the Police?"
0,Is Cancer Caused by a Deficiency of 'Vitamin B17'?
1,"""2.1 million jobs have been created in the last six or seven years"" in California"
1,Toddlers Killed More Americans than Terrorists in 2015
1,Does the White House Contact Form Now Have Gender-Inclusive Pronouns?
1,"""Adjusting for inflation, West Virginia’s median household income has not grown in a decade."""
0,Ronda Rousey Death Hoax
0,Was Thanksgiving Originally a Celebration of the Massacre of a Native American Tribe?
1,Did Man Accused of Murder Win GOP Primary from Jail?
1,Did an Old Toys 'R' Us Building Later Become a Gun Store?
0,Colin Kaepernick Reportedly Found Dead in San Francisco Home
0,Chris Matthews and Cardinal Bergoglio Transcript
1,"In Afghanistan, “over 100 billion dollars spent on military contracts.”"
0,"No, a Wayfair 'Doswell' Wardrobe Doesn't Match the Name of a Missing Child"
1,Is This a 4th Grade Science Quiz?
1,"""I think I received more votes in the Democratic primary than any governor in history."""
0,The 'World's Loneliest House': Elliðaey's Myths Debunked
0,"""THOUSANDS of fake votes found at Wisconsin Recount in Dane County."""
1,Did People Die After Sealing Their Home with Plastic Sheeting and Duct Tape?
1,Is Gwyneth Paltrow Selling a Candle That 'Smells Like My Vagina'?
0,"No, Pfizer Does Not Own Neil Young's Music Catalog"
1,Was Bernice King’s Tweet on MLK Day Flagged as Misinfo by Instagram?
1,Did Actor Rick Moranis Quit Acting to Raise His Children?
1,Did School Apologize for ‘All Lives Matter’ Theme for Black History Month?
0,Did US Leave Military Dogs Behind in Afghanistan?
1,Is This Pic of Supercell Thunderstorm Cloud Real?
0,Will UN Peacekeepers Be Deployed on the Streets of Chicago?
1,“Jurisdictions representing about 80% of WI residents have passed referendums or resolutions in favor of fair maps.”
1,Did a Colorado Squirrel Test Positive for Bubonic Plague?
0,"Julian Assange Said Bernie Sanders Won Race, Was Threatened"
1,Baby Drop Off Box
1,Did Pipe-Bombing Suspect Cesar Sayoc Attend Donald Trump Rallies?
1,"Rick Scott “has heavily invested in a company that is geared to helping illegal aliens transfer money to family and friends out of the country."""
0,Melania Trump Wore Heels to Visit Texas After a Hurricane?
0,Does This Video Show Walmart Water Turning Into a Dangerous Gelatin Substance?
1,"""Colorado raked in $60 million in marijuana taxes and licensing fees in the past year."""
0,Did Joe Biden Use the N-Word in a Recorded Speech?
0,Is This Nike 'Make America Great Again' Hat Real?
1,"Says Ted Strickland ""in this campaign bragged about his A-plus rating with the NRA. ... He has said he has a mixed and spotty record on this issue and that he can be criticized for it. Those are his words, not mine. So I don’t know where he is on this issue."""
1,"""We have a retiree that is collecting a $17,000 paycheck a month . . . tax free."""
1,"""Surveys show that many of our citizens think we devote a full quarter or even a third of our federal budget to foreign aid."""
1,Did NRA Celebrate the Overturning of Weapons Ban in Boulder Days Before Mass Shooting?
1,Did DMX Say He Was 'Tricked' Into Smoking Crack?
1,Is the 'Bobcat Attacks Man's Wife' Video Real?
0,"Did Tomi Lahren Say “Everyone Knows Mermaids Are White, Just Like Santa and Jesus""?"
0,Did WNBA MVP Kelsey Plum Receive a Trophy That Cost Only $18?
0,Did This Gorilla Learn How to Knit?
0,Did a 5G Cellular Network Test Cause Hundreds of Birds to Die?
1,"Does a Book Call Trump 'The Son of Man, The Christ'?"
1,"""Young veterans have a higher unemployment rate than people who didn’t serve."""
1,So Long and Thanks for All the Fish
0,Did 'The Simpsons' Predict Dating Apps?
1,Did Trump Salute a North Korean General?
1,Was 'Coronavirus' Replaced with 'Chinese Virus' in Trump's Notes?
0,Were Will Smith's Teeth Knocked Out by Jason Derulo?
1,"Florida has ""more concealed weapons permits than any other state."""
1,"""Trenton politicians cut $1.3 billion from education."""
0,Has 'JUULing' Caused Cancer in High School and College Students?
0,Paul Teutul Death Hoax
0,Is the Russian Army Using Exosuits?
0,Can You Get Free Baby Formula During COVID-19 Crisis by Calling the Company?
0,Maryland Doctor Who Treated Hillary Clinton for Blood Clot on Brain Mysteriously Dies
0,Does COVID Stand for ‘Certificate of Vaccination ID’?
1,Did a Man Forge His Dead Wife's Vote for Trump?
1,"""More women are graduating from college now than men."""
0,Can Coconut Water Be Used as a Substitute for Blood Plasma?
0,Was Angela Merkel's Hair Censored on Saudi Arabia State Television?
1,"Says Warren Buffett has publicly said his secretary ""should not be paying a higher tax rate"" than him."
0,Was a Zambian Man Arrested After Boasting He Lost 280 Pounds on a 'Cannibal Diet'?
1,"Yes, a Football Player Named Parker Titsworth Wears a 69 Jersey"
1,Crazy Thanksgiving Fails Answered by the Turkey Hotline
0,Did Martha Stewart Say She'd Refuse to Accept a Pardon from President Trump?
1,"Electric car sales in Georgia have dropped dramatically since a $5,000 tax credit was eliminated and a $200 annual registration fee was imposed July 1."
1,Did Missouri Republicans Pass a Law Lowering the St. Louis Minimum Wage from $10 to $7.70?
1,California Pastor Praises Orlando Massacre
0,Did the Word 'Swag' Originate as an Acronym?
1,"""Rhode Islanders pay among the highest auto repair bills in the nation."""
0,White House Admits Syria Missile Attack Was a Publicity Stunt to Make Trump Look Good?
0,Was a U.S. Tourist Arrested for Refusing to Trade His Wife to a Saudi Prince?
0,Whataburger Closing Its Doors?
