Label,Claim
0,"Ron Johnson is ""willing to hand over the Great Lakes to the oil companies."""
0,"Says Apple products are currently ""90 percent conflict-free,"" and ""Intel is 100 percent conflict-free."""
1,"The state is absorbing the cost of overtime pay for farmworkers, and farm owners do not have to pay any more."
1,"""Democrats have failed to answer the most basic question of how they want to pay for the more than $1 trillion of health care spending."""
1,The Maiken and the Birth of an Island
0,"“Without a shred of clinical data to support its decision, the Biden Administration has revoked the emergency use authorization for lifesaving monoclonal antibody treatments.”"
0,“79.4% of babies who die of ‘SIDS’ had a vaccine the same day.”
1,What Are the Security Risks Associated with Face-Altering App Voilà AI Artist?
0,"""ICE has not deported or detained one white illegal immigrant."""
0,Did Billy Graham Issue a Stunning Statement on Donald Trump?
0,Says Planned Parenthood provides about 140 visits for prenatal care in each state.
0,Was 'World's Largest Log Cabin' Oregon's Forestry Building?
0,"""The job [of correctional officer] lowers your life expectancy . . . Metropolitan did a study in, I believe it was 1998, and the life expectancy was 58."""
0,People carrying guns can’t wear face masks to protect against the coronavirus because it’s a “class 4 felony.”
0,Was a Child Named Chloe Jones Abducted by a 'Creepy School Bus'?
0,Did the Department of Energy Spend $737 Million to Benefit Ronald Pelosi?
0,The Bill & Melinda Gates Foundation pledged $200 million for digital IDs as part of a shift toward a “totalitarian society.”
1,"""Oil companies can obtain an acre of public land for less than the price of a Big Mac."""
1,Did US Rep. Tim Burchett Say Recent UFO Sightings Were Evidence of Technology 'Out of Our Galaxy'?
0,"""(Brendan) Doherty wants to raise the eligibility age for Social Security benefits for anyone born after 1960, with no regard for the challenges it would cause for people working in physically demanding occupations."""
1,Says “black babies die at rates twice as high as white babies because of a lack of access to affordable health care.”
0,Are Kim Kardashian and Kanye West Divorcing?
0,Did Winston Cigarettes Promote 'Smoking for Two'?
0,"A Marine painted his house red, white and blue after he ""was told by his neighbors that he could not fly the American flag in his yard all year long."""
0,Did an NFL Player Burn an American Flag in a Locker Room?
1,"""Europe and U.S. households waste 15 times more food than a person in Africa."""
1,"The U.S. has ""5 percent of the world’s population, 25 percent of the world’s known prison population."""
0,Couple High on Meth Eats Homeless Man?
1,“Congress has one job here: to count electoral votes that have in fact been cast by any state.”
0,"Says the Donald J.Trump Foundation's money ""is his money."""
1,Did a Texas Girl Need Surgery After Choking on Part of a Fidget Spinner?
0,Says America’s most violent cities are that way because of their Democratic politics
1,Does This Restaurant Receipt Show a COVID-19 Surcharge?
0,"The Republican-controlled Wisconsin Senate approved a bill ""denying veterans the right to recover their medical costs for cancers they developed while serving their country."""
1,"""In the mid 1990s, in our state, (Florida was) No. 1 in violent crime in America. ... The only concern I had was for the citizens of Florida, who were subjected to a violent crime every three minutes and 45 seconds."""
0,"""Not one illness has been reported from raw milk in"" Texas ""in more than four years. A total of six illnesses have occurred in the last 20 years."""
0,"""According to (Barack) Obama’s newest unconstitutionally enacted law, health care professionals are now required to violate HIPAA privacy laws and submit medical data to the government,"" which is ""then used as justification for gun confiscation."""
0,"“Milwaukee Elections Chief Lost Elections Flash Drive in Morning Hours of November 4th When Democrats Miraculously Found 120,000 Votes for Joe Biden.”"
0,DEFCON Warning Level Escalated to 3
0,"""USPS loses $1.46 each Amazon package it delivers."""
0,"""Homicides against blacks have tripled"" since Florida’s ""stand your ground"" law has been in existence."
0,"""[U]nlike every other major transit system in the nation, MARTA has never received any significant, dedicated funding from the state of Georgia."""
0,"On Abigail Spanberger: ""She got $2.2 million from ActBlue...That is the George Soros resistance group."""
0,Smoking Bedbugs to Get High
0,"""There’s a section in the Constitution called the Emoluments Clause that says no one, nor their spouses, can take money from foreigners. (Hillary Clinton) has to be guilty of 70 or 100 counts just on that one charge."""
1,It would be illegal for the Fulton County Commission to raise the county tax rate.
1,"""We haven’t had control of the House for the last two years and it’s been malfunctioning. We had 109 sessions scheduled and held 49."""
0,"""Barack Obama's plan gives a driver's license to any illegal who wants one."""
0,Did Buzz Aldrin Admit Moon Landing Was Faked?
1,"""African-Americans are more likely to be arrested by police and sentenced to longer prison terms for doing the same thing that whites do."""
0,Casey Anthony Obtains License for Home Daycare Business in Florida
0,"""Three years ago, a newly elected President Obama told America that if Congress approved his plan to borrow nearly a trillion dollars, he would hold unemployment below 8 percent."""
0,Photo Does Not Show Couple Unable To Conceive Having Sex in Church
1,“Bennie Thompson objected to the 2004 Presidential election.”
0,"“Trump supporters are blocking access to polling sites at Clifton City Hall, New Jersey.”"
0,Cheryl Mills Called Benghazi Dead 'Idiot Soldiers' in Leaked E-Mail
0,American Legislator Wants Canadians Banned from Driving in USA
0,Video shows the Jan. 6 Capitol riot was a “completely peaceful protest.”
0,"Leticia Van de Putte ""voted to give illegal immigrants in this country free health care--not emergency health care but total free health care."""
0,"Under the Graham-Cassidy health insurance bill, in ""states like Maine, Virginia, Florida, Missouri, there will be billions more dollars to provide health insurance coverage for those in those states who have been passed by by Obamacare."""
0,Why Did So Many of Walt Disney's Animated Films Have Motherless Characters?
0,Did a Super Bowl 'Streaker' Win $374K on Prop Bet?
0,Are Michigan Lawmakers Marking Immigrants' Licenses with Yellow Stars?
1,Says the Obama administration never responded to his 2012 letter flagging the uptick in unaccompanied children crossing the U.S.-Mexico border.
0,"U.S. tariffs on China are ""not hurting anybody"" in the United States."
0,Stanley Kubrick's 'Don't F*** with Me' Letter
0,Did Vandals Attack 12 Churches in France in One Week?
0,"U.S. Sen. Bill Nelson was ""the deciding vote for the health care law."""
0,"Says Republicans ""just passed"" the Veterans Choice program after 44 years of trying. ""They've been trying to pass that one for many, many decades."""
0,“The first Statue of Liberty given to the U.S. by France was a Black woman which the U.S. rejected.”
0,"""Lincoln was fervently making plans to send all freed slaves to the jungles of Central America once the (Civil War) was over. … The only thing that kept this from happening was his assassination."""
0,"""People are being diagnosed with delta variant"" even though ""there is no delta variant test."""
0,'Jake from State Farm' Death Hoax
0,"""You are prohibited from walking into the Capitol with a gun, but you can go after the County Commission or the School Board."""
0,Did a Woman Wear This Revealing Dress to a Hollywood Event to Protest Sexual Harassment?
0,“Joe Biden confirmed his plan to abolish the entire U.S. oil industry.”
1,Was a Mysterious Monolith Found in Utah?
0,"No, That 'Peppermint Alfredo' Ragú Sauce Is Not Real"
0,"""While (Charlie Crist) was governor, utility costs went up 30 percent and went from below the national average to above the national average. Since I got elected, utility rates have come down 11 percent and now we are below the average."""
0,"""Gas prices are the lowest in the U.S. in over ten years!"""
0,"""We need to also recognize that we just had two of the coldest years, biggest drop in global temperatures that we have had since the 1980s, the biggest in the last 100 years. We don't talk about that."""
0,"Says Hillary Clinton ""wants to let people just pour in. You could have 650 million people pour in and we do nothing about it. Think of it. That’s what could happen. You triple the size of our country in one week."""
1,"Says an array of statistics show that conditions in some parts of Baltimore rival that of ""the West Bank in Palestine,"" ""North Korea,"" and ""distressed cities in Nigeria, India, China and South Africa."""
1,Did Anthony Hopkins Write a Fan Letter to Bryan Cranston and the Cast of ‘Breaking Bad’?
1,"Did Tekashi 6IX9INE Say This About Brittney Griner, Russian Travel?"
0,Says “Property crime rising in Austin. This is the kind of thing that happens when cities defund and deemphasize police. Residents are left to fend for themselves.”
0,"""Fluoride in the water, that was originally done by the Nazis!"""
0,"Says he was ""a Marine during Vietnam."""
0,Is This List of Democratic Shooters Accurate?
0,Is The Great Pyramid of Giza’s Location Related to the Speed of Light?
1,Does a Photo Show Jill Biden Lunging To Protect Joe?
1,"""We've cut the deficit by two-thirds."""
0,"Scott Walker was elected governor on a promise not to take campaign contributions ""from the date of his inauguration until the signing of the state budget,"" but broke it by taking nearly $5.6 million."
0,"""Income taxes are voluntary."""
0,Is Joshua Ladu the Tallest Man in the World at 9 feet 8?
0,Did 'Pioneer Woman' Ree Drummond Experience 'Allegations' or Sad News and Endorse CBD and Keto Gummies?
0,Does This Photograph Show a KKK Member Treated by Black Hospital Staff?
0,"""The IRS is already planning on 19,500 new employees to administer"" Obama’s health care mandate."
0,"""Obama did not open new lands to offshore drilling – all of these areas were already open for drilling once Congress and President Bush lifted the moratorium in 2008. Instead, President Obama yesterday announced what areas he would CLOSE to offshore drilling."""
0,American Cancer Society Hoax
1,Sheriff Joe Arpaio
0,"Disney World Has Mosquitoes, Despite Claims Seen Online"
1,Did Nikola Tesla Describe Cell Phones in 1926?
1,Did Putin Acknowledge Biden's Win Before Mitch McConnell?
0,"Says ""Morgan Carroll opposed requiring convicted sex offenders to register their online profiles, making it harder to track online sex offenders and child predators."""
0,"A Trump administration proposal for the Interior Department ""is the largest investment in our public lands infrastructure in our nation's history."""
0,Did a Man Performing the ‘Bird Box Challenge’ Get Jumped and Mugged?
0,"""More than 400 car crashes occur each year on the current, congested Columbia River Bridge."""
0,Racist Abe
0,Did Gwen Shamblin Lara Fake Her Death?
0,"Says replacing NC Supreme Court Chief Justice with most experienced justice is a ""longstanding, nonpartisan tradition."""
0,"""There is a precedent"" for not nominating someone to the U.S. Supreme Court ""in the middle of a presidential election."""
1,"""The top 25 hedge fund managers (are) making more than all of America's kindergarten teachers combined."""
0,"""Since 2012,"" city of Austin ""property taxes have gone up almost 30 percent while incomes have only risen 4 percent."""
0,Was a Finger Found in Wendy's Chili?
1,Did a Woman Get Fired After Donating a Kidney on Her Boss' Behalf?
0,Is This 'Quintuple Skull' Real?
0,Wisconsin Recount Observers Find Voting Machines with Broken Seals?
1,Did Xbox and PlayStation Congratulate Each Other on Launch Days?
0,Raising the national minimum wage to $15 per hour “would destroy up to 3.7 million jobs.”
0,"“Biden’s Air Force One is not the same as Trump’s Air Force One,” which indicates Biden is not the real president."
0,Meteorite Strikes a Pickup Truck in the Desert!
0,Was the Pacer Test Banned for Child Cruelty?
0,106 Dead In California Music Festival Bombing
0,Did the Media Ignore President Trump's Signing of a Bill to Clean Up the Oceans?
0,"Says when Rhode Island Lottery was proposed, ""state residents were enticed to vote for it with the promise that the money would be used for education."""
1,"Says U.S. Senate rival Tammy Baldwin wants a ""completely government-controlled"" health care system that goes ""far beyond 'Obamacare'"" and is ""a Medicare system for all."""
1,"""The Ohio Democratic Party has raised $1.1 million since the November election. A very small percentage of that has come from organized labor."""
1,"""The claim ... that we plan to set up panels of bureaucrats with the power to kill off senior citizens ... is a lie, plain and simple."""
0,“Muslim BTS fan accidentally plays the song 'Dynamite' instead of Azaan on loudspeakers at 4am; gets arrested.”
1,"""You look at the homelessness situation. Take a city like Tokyo, which has more people than New York City. There's no homelessness there."""
0,Does This Photograph Depict an Actual 'Abortion Barbie' Doll?
0,Did Biden Set US 'Back 50 Years' on Energy Independence Progress?
0,"""The @nytimes sent a letter to their subscribers apologizing for their BAD coverage of me."""
0,A White House photographer took a picture of Donald Trump at the White House on Oct. 24.
0,Did Protester in Ralph Lauren Polo Jacket Face Baton-Wielding Cop on Horseback?
0,Ranked choice voting in Alaska is a “total rigged deal.”
1,"""The majority of Americans across ALL parties favor these nondiscrimination policies for LGBTQ people (liberals at 81%, moderates at 76% and conservatives at 55%)."""
1,"""A majority of drunk driving deaths and injuries are caused by drunk driving offenders with no prior convictions."""
0,"The war spending bill ""actually spends more money on the International Monetary Fund than on the war."""
0,"Says the U.S. Senate has passed ""a budget"" over the last three years ""called the Budget Control Act."""
0,"The federal government is sending refugees to states with governors who are ""Republicans, not to the Democrats."""
0,"""For too long, Obamacare has caused high premiums and dismal coverage. ... Under Obamacare premiums in job-based coverage have increased by $3,775"""
1,Did Bumble Dating App Lead to Capitol Riot Suspect's Arrest?
0,Rogue Amazon Drone Delivers Bomb to White House?
1,Does This Video Show Baby Spiders Dispersing from Their Recently Squashed Mother?
1,Is This Meandering Quote From Biden Real?
0,"Says ""an unchecked Democratic Majority in Trenton"" is responsible for ""years of diversions"" from the state’s unemployment insurance trust fund."
0,Tainted Buffet at Jackson Strip Club Blamed After Severe Diarrhea Incident on Stage?
0,Is This a Photograph of the Woman Who Modeled for the Statue of Liberty?
0,Donald Trump: 'Abraham Lincoln Was a Dishonest Traitor'
1,"Says county parties representing more than half the state’s Republican voters approved resolutions ""demanding changes"" in Texas House leadership."
1,Was Pete Buttigieg's Father a Marxist Who Spoke Fondly of 'Communist Manifesto'?
0,"Scientists Say Giant Asteroid Could Hit Earth Next Week, Causing Mass Devastation"
0,Is There a Warrant for CIA Director Nominee Gina Haspel's Arrest?
0,"""It was Hillary Clinton who left Americans in harm's way in Benghazi and after four Americans fell said, 'What difference at this point does it make?' """
0,"A company hired to do Common Core testing in Florida will ""attract every one of your children to become as homosexual as they possibly can."""
1,"""Greece is not a big economy. It's about the size of metropolitan Miami."""
0,"""It's costing every American who is insured $1,100 to pick up the cost of uncompensated care that goes on at the emergency room."""
0,"Did a Cop Really Catch His Wife Cheating, as Seen on TikTok?"
1,West Virginia is poised to “receive $25M for 160 orphaned well clean-up projects across the state.”
0,"The woman killed during the Jan. 6 U.S. Capitol assault was shot by a Secret Service agent, not Capitol Police."
1,Is Scooby Doo's First Name Actually 'Scoobert'?
0,Did a Federal Judge Nullify PA Election Results for ‘Wide-Scale Voter Fraud’?
0,“This race will be the Democrats’ top target this November.”
1,Did a Criminology Textbook Use Brock Turner to Illustrate an Entry on Rape?
1,Are 'Sandfalls' in Saudi Arabia Real?
1,"Yes, a 4,000-Year-Old Burial Was Found at a Golf Course in England"
1,"""The truth is, Planned Parenthood does not provide mammograms. Planned Parenthood refers women to mammography providers, serving as the middlewoman, if you will."""
0,Did Protesters Vandalize a Texas Children's Hospital?
0,The U.S. military seized servers in Germany tied to Dominion Election Systems.
0,"Appalachian Power Company is making ""record profits."""
0,"""Roughly one in four fish eaten in the United States was caught here and sent to Asia for processing before being re-imported for American consumers."""
0,"“In Chicago, Covid-19 actually LOWERED the death rate.”"
0,"A photo shows a $123,199 turkey for sale at Target “this year.”"
0,A photo of a homeless camp on old railroad tracks is present-day Los Angeles.
0,“The CDC actually put together a document to discuss putting high risk people into camps to ‘shield’ low risk people from them.”
0,Women in the United States are paid about 70 percent of what men earn for the same work.
1,"""My campaign alone has created more jobs in the state of Rhode Island than Narragansett Beer."""
1,Is Man Who Killed Cop in '81 Helping NY Officials Reform Policing?
1,"""Amazing fact: Senate has already voted on more amendments in 2015 than Reid allowed ALL YEAR last year."""
0,Does Fox News' Peter Doocy Live in a 'Luxurious' Barn?
0,"""We have the most educated … workforce in the entire nation."""
1,"Says he ""invested over $100 million in worker training."""
0,Lowe's Email Scam Promises Portable Air Conditioners
0,"The Pell bridge ""is a tourism bridge essentially and not a commuter bridge."""
0,Is Facebook Taking Down a Photograph Showing the Burial of Korean War Remains?
0,Indian Woman Gives Birth to 11 Baby Boys
1,"""One of three patients hospitalized (is) harmed by the care they receive."""
0,"""Lindsey Graham threatens to convert to Democrat if Republicans don’t Dump Trump."""
0,Did Kevin Costner and Octavia Spencer Get Married?
0,The military arrested “bedridden Gavin Newsom.”
0,"""When I left Washington, we had a $5 trillion surplus."""
0,TV interviews with two different men who are each identified as Uvalde victim's father show the Robb Elementary School mass shooting was staged.
1,"The Rhode Island Parole Board ""never received an objection from the attorney general"" to the parole of convicted murder Alfred Brissette."
0,"White House, CDC, WHO and vaccine makers don’t require the COVID-19 vaccine for their workers."
1,“James is the only Senate candidate in a battleground state who has refused to take a position” on whether the Senate should promptly vote on Trump’s Supreme Court nominee
0,Are Scientists 'Literally Creating Glow-in-the-Dark Trees' With Firefly DNA?
0,Clinton Foundation Cargo Ship Raided at Port of Baltimore Reveals 'Sick Secret'?
0,Was JFK Jr. a U.S. Senate Frontrunner Before His 'Suspicious' Plane Crash?
0,Jim Morrison Found Alive in Paris Assisted Living Facility
0,"The word ""alcohol"" derives from the Arabic term for ""body-eating spirit"""
0,Seven People 'Dead by ISIS' in Local Attack
0,Did the White House Delete an Unflattering 'Orange Face' Photo of Trump?
0,"The United States ""is not modernizing its nuclear weapons."""
0,"Is Disney/Pixar's 'Monsters, Inc.' Sequel Set for a July 2020 Release?"
0,The Impossible God of a Young Soldier
1,"""An April study found that about 70 percent of ads in this election cycle have been negative [due to SuperPACs], up from only 9 percent through the same period in 2008."""
0,Were Anne Frank's Diary and the Bible 'Banned' by a Texas School District?
0,"The Trans-Pacific Partnership ""was designed for China to come in, as they always do, through the back door and totally take advantage of everyone."""
0,"The $1.9 trillion relief package is “about a bridge for Chuck Schumer, a tunnel for Nancy Pelosi.”"
0,Says Alex Sink's plans for governor include $12.5 billion in new spending.
1,"Says Rick Perry ""turned down our invitation to meet"" President Barack Obama in El Paso."
0,"""Because of (the 1994 crime bill), we had a 25-year low in crime, a 33-year low in the murder rate, and listen to this, because of that and the background check law, a 46-year low in the deaths of people of gun violence."""
1,"""In fact 7 out of 10 new jobs in America are created by small businesses."""
0,Did Pope Francis Write the 'Gentle Reminder' Message?
1,"""Gingrich supported individual health insurance mandates."""
0,"""Maxine Waters Is Getting Criminally Charged!"""
0,"""Medicare passed with virtually no Republican support."""
0,"""Obama says Iran is a 'tiny' country, 'doesn't pose a serious threat.'"""
1,"The employer mandate ""affects only 5 percent of businesses in this country."""
0,"""In Florida, Sen. Bill Nelson ... got a $25 billion to $30 billion carve-out for Medicare Advantage patients in their state."""
1,Did 1 in 500 US Residents Die From COVID-19 by September 2021?
0,"The Every Student Succeeds Act ""did away basically with Common Core."""
0,"Says officials in Washington, D.C., are “jamming all communications.”"
0,Says President Barack Obama has opened up no new trade relationships with other nations.
0,"""It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost (Capt. Humayun Khan’s) life."""
0,Did a KGB Agent Confirm That the Sex Pistols Were Backed by the USSR to Destabilize the West?
1,Who Was the First TV Couple to Sleep in the Same Bed?
1,"The Keystone pipeline creates ""35 permanent jobs"" after construction, according to a government report."
1,Federal aid for state and local governments through a proposed coronavirus relief bill would amount to “half of what the Republicans put onto the national debt.”
0,Early morning election results from Michigan and Wisconsin show voter fraud.
0,Did an Oregon Man Get a Prison Sentence for Collecting Rainwater on His Own Property?
0,"Says Dean Heller ""has voted for a GOP bill that funded efforts to revive Yucca Mountain."""
0,Does Christina Hagan's Campaign Ad Show the Mexico-United States Border?
0,"""In light of the leak of my financial disclosure info which is a felony I will be contacting @FBI and the @TheJusticeDept"""
1,"""We have only one person on the (TVA) board, to my knowledge, who even has any corporate board experience."""
1,Could a Case Currently Before the Supreme Court Result in a Stronger Presidential Pardon?
0,"The GOP health bill ""would once again allow being a rape or domestic violence victim to be a pre-existing condition."""
0,"""This Russia thing with Trump and Russia is a made-up story. It's an excuse by the Democrats for having lost an election that they should've won."""
1,Bears Finishing What Katrina Started
1,Toddlers Killed More Americans than Terrorists in 2015
1,Did Bernie Sanders Sell Meme Sweatshirts To Raise Funds for Charities?
0,Australia Becomes First Country to Begin Microchipping Its Public?
0,"""We would create thousands of jobs in Colorado, if the Keystone Pipeline were to be built."""
0,"""Japan says goodbye Moderna, hello ivermectin."""
0,Was 'Kellogg's' Removed from Pop-Tarts in Response to Boycott?
0,FALSE: Trump Tweets Image of Bernie Sanders in Gas Chamber
1,Did Dale Earnhardt Sr. Remove Confederate Flag Sticker from Truck?
0,How to Create a Hybrid Kiwi-Banana Fruit
1,"""Americans are 20 times as likely to die from gun violence as citizens of other civilized countries."""
1,"""The average student loan debt in Texas is over $22,000...the cost of an average size pickup truck."" But unlike car owners, ""students are not allowed to refinance their loans at lower rates."""
0,Canada Gives Polygamist Immigrants Thousands in 'Start-Up Money'?
0,"The 2011-13 state budget ""cuts overall funding for public schools by $1.6 billion"""
1,"Says Ann Coulter said, ""I am a settler. I am descended from settlers — not from immigrants."""
0,Says North Carolina Gov. Roy Cooper “has seen his approval rating plummet”
0,"""They just happened to find 50,000 ballots (in the Georgia U.S. Senate runoff elections) late last night."""
1,"""One in every five families in the state of New Jersey has a loved one with a mental illness, a serious mental illness, and today, we don’t care."""
0,Says the coronavirus isn’t new because “Lysol has it listed as one of the viruses that it kills.”
1,"Florida ""has the second-highest foreclosure rate in the nation."""
1,Hillary Clinton Failed D.C. Bar Exam
0,Is Danica Roem the First Transgender State Legislator in the U.S.?
0,Was the World's Largest Snake Captured in the Amazon?
1,Did President Bush Call a Reporter a 'Major League Asshole'?
0,Did Alex Jones Stop Smugglers From Illegally Transporting Children at Border?
0,George Floyd’s death and the ensuing protests were planned to introduce martial law and “purge” the United States.
0,"In the primary election, a ""right-wing group spent more than $100,000,000 to support"" Supreme Court Justice Rebecca Bradley."
1,"""I don’t understand what Republicans are doing against this. It was their idea. John McCain introduced cap and trade legislation three times."""
0,"""On three occasions, judges had to stop Jason Kander from manipulating elections."""
1,"Says Paul Ryan ""is still endorsing Trump."""
1,"Says Hillary Clinton tripled the number of people with AIDS whose ""lives are being saved .. and it did not cost you any more money."""
1,"Says a Texas Senate committee considering ""private school voucher"" legislation randomly called people to testify regardless of when the people submitted requests to testify."
1,"“New Haven, Conn., had to issue bonds for a bridge after using funds for that bridge to pay for a police misconduct settlement."""
0,FALSE: Eritrean Men Are Being Forced to Marry Multiple Women
1,"""Millions of people have given up looking for work altogether."""
0,"""The Electoral College is much more advantageous for Democrats."""
0,"“Since removing the mask mandate two months ago, Texas has not reported a single COVID death. Not one."""
1,"""We aren't the only state cutting back on public television."""
0,"Says at polling places in Texas on Super Tuesday “the Republican side gets 25 machines, the Democratic side gets 5 machines. People were literally standing in line for seven hours.”"
1,"Says Donald Trump said at the Republican convention, ""I alone can fix it."""
0,"A ""Liability Warning Acknowledgement Form"" allows a worker to sue their company if they get injured from the COVID-19 vaccine."
1,"""In 2008, candidate Barack Obama attacked John McCain for proposing cuts to Medicare."""
0,"In Japan, ""they take a bowling ball from 20 feet up in the air and they drop it on the hood of the car. And if the hood dents, then the car doesn't qualify...It's horrible, the way we're treated."""
0,Did the Japanese Government Ban Microwave Ovens?
0,What the Chairman of the Joint Chiefs of Staff Must Tell the Nation
0,"""I campaigned on (the proposals in the budget repair bill for Wisconsin) all throughout the election. Anybody who says they are shocked on this has been asleep for the past two years."""
0,Women make only 78 percent of what men make for the same job.
0,"Did a Maternity Ward Nurse Switch 5,000 Babies at Birth for 'Fun'?"
0,Says a Fox New chyron said the Snickers candy bar is changing its texture because of “cancel culture.”
0,Did US Senate Fail to Acquit Trump Because There Wasn't a 'Real' Trial?
0,The Bunny Man
0,"David Beckham’s proposed soccer stadium at Miami’s Port ""threatens the 207,000 jobs and $27 billion economic impact tied to the cargo and cruise industries."""
0,"Says Kurt Schrader voted to cut $500 billion from Medicare, threatening ""thousands of Oregon seniors and their access to their current coverage."""
1,Does a Pic Show Gorillas Dismantling a Poacher Trap?
1,Did McConnell Say Trump 'Provoked' Attack on U.S. Capitol?
0,Says the new Dodd-Frank financial law requires a 20 percent down payment to buy a house.
0,"Speaking of his restriction on travel from China, “I had (Joe) Biden calling me xenophobic. … He called me a racist, because of the fact that he felt it was a racist thing to stop people from China coming in.”"
0,Does a Pic Show Sunset on Mars?
1,Does a Photo Show Margaret Thatcher Talking to a Young Justin Trudeau?
0,Did US Sen. Graham Say Trump Knows More Than CDC About Medicine?
0,The Pfizer COVID-19 vaccine “is not approved.”
0,Does This Photo Show a Real Storm Over Paris?
0,Does Trump's Residency Change Mean He Committed Voter Fraud in 2018 or 2020?
0,"""Clayton County offers the lowest operating millage rate in Metro Atlanta."""
0,Did a Sign for Starbucks Racial Bias Training Single Out White People?
1,"Says federal debt ""doubled during the Bush administration."""
0,"""Here in Florida, I’ve slashed government by 10 percent. That's $7 billion."""
0,Does TikTok Allow Strangers to Access the Personal Information of Users Who Don't Share Those Details?
1,Playboy Tycoon Hugh Hefner Passes Away at 91
0,Does the FBI Have Evidence That 62 Million Trump Voters Are Russian Agents?
1,"""Georgia is now the eighth most populous state in the nation, moving from the number 10 position in just four years."""
0,"""Large, peer-reviewed research study proves ivermectin works” as a COVID-19 preventative."
0,"Ed Gillespie ""supports a personhood amendment."""
1,"Says Gov. Doug Ducey wants to use ""taxpayer dollars to increase the salaries of private prison guards."""
1,"""It costs $10,000 a year to keep a child in school; it costs $30,000 a year to keep someone in prison."""
1,Did Anthony Bouchard Compare Impregnating a 14-Year-Old When He Was 18 to 'Romeo and Juliet'?
0,"“COVID death rates 4 to 1, vaccinated to unvaxxed”"
0,"The results of Atlanta Public School’s 2010 and 2011 CRCT tests ""have not been questioned."""
1,Did Trump Blame Obama for 'Bad' COVID-19 Tests?
0,"""Dubious taxpayer-funded"" stimulus spending -- Part II."
0,"Says ""Hillary Clinton has pledged amnesty in her first 100 days, and her plan will provide Obamacare, Social Security, and Medicare for illegal immigrants, breaking the federal budget."""
0,“The Supreme Court ruled today NO VOTING BY MAIL !!!”
0,Did Biden Admin Stage a White House Photo with Fake Trees?
0,"Says Anthony Bourdain tweeted, “This might be the best bat soup I ever had in my life. Someday everyone’s gonna be talking about Wuhan.”"
1,Do Black Starbucks Aprons Have a Different Meaning Than Green Ones?
0,Trump Says Africans Are Poor Because They Think of Sex Instead of Farming?
0,"“Smartmatic and Dominion systems ... were built to do this very thing, for changing the results of elections.”"
